table_title,Requirement_ID,Requirement,Source,Verification_method,Acceptance_threshold,Pilot_result,Status,Owner,evidence_class,confidence,source_or_validation
Table 1. Requirements Traceability,REQ-001,Operate only after verified room closure and zero occupancy,Airport Safety,60 witnessed entry and occupancy tests,60 of 60 safe stop or inhibit,60 of 60 passed,Pass,Airport Safety,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Requirements Traceability,REQ-002,Remain inside approved restroom and charger geofences,Airport Operations,Route replay and boundary tests,Zero geofence violations,Zero violations,Pass,Seller,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Requirements Traceability,REQ-003,Complete scheduled routine cleaning mission,Airport Facilities,Telemetry and inspection close record,At least 97 percent of 1080,1048 of 1080 or 97.04 percent,Pass,Integrator,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Requirements Traceability,REQ-004,Meet twelve-point first-pass quality inspection,Custodial Quality,Stratified sample of 270 missions,At least 90 percent,248 of 270 or 91.85 percent,Pass,Airport,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Requirements Traceability,REQ-005,Escalate prohibited contamination without contact,Airport Safety,24 witnessed exception drills,24 of 24 safe stop and human dispatch,24 of 24 passed,Pass,Airport Safety,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Requirements Traceability,REQ-006,Use only approved labeled chemical and required contact time,Hazard Communication Program,Cartridge identity dwell timer and audit,100 percent correct in sample,270 of 270,Pass,Custodial Quality,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Requirements Traceability,REQ-007,Preserve accessible egress and fixture clearances,Airport Accessibility Review,Dimension and daily obstruction inspection,Zero blocked-route events,Zero events,Pass,Airport,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Requirements Traceability,REQ-008,Protect video telemetry identity and retention,Privacy and Cybersecurity Review,Access retention and deletion tests,All critical controls pass,18 of 18 passed,Pass,Cybersecurity,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Requirements Traceability,REQ-009,Restore or safely plan critical failure,Support Plan,Ten fault injection drills,Acknowledge within 15 minutes and plan within 60,Median 9 minutes and maximum 14,Pass,Seller Support,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Requirements Traceability,REQ-010,Return to charger before minimum reserve,Manufacturer Operating Envelope,20 low-energy return tests,20 of 20 dock or safe stop,20 of 20 passed,Pass,Manufacturer,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Requirements Traceability,REQ-011,Replenish approved supplies accurately,Airport Facilities,Event reconciliation,At least 98 percent,327 of 332 or 98.49 percent,Pass,Airport,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Requirements Traceability,REQ-012,Produce reconciled cost and benefit evidence,Finance,Independent arithmetic review,Zero unreconciled differences,Zero differences,Pass,Integrated Program Manager,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
