Deliverable,Executive Sponsor,Program Manager,Product,Systems,Engineering,Safety Security,Manufacturing Quality,Service,Sales Customer
Product brief and business case,A,R,R,C,C,C,C,C,C
PRD and system requirements,I,A,R,R,C,C,C,C,C
Architecture and interfaces,I,C,C,A,R,C,C,C,I
Hazard and security programs,I,C,C,C,C,A,C,C,I
EVT build and evidence,I,A,C,R,R,C,C,C,I
DVT verification and design freeze,I,A,C,R,R,R,C,C,I
PVT and production readiness,I,A,C,C,C,C,R,C,I
Service and support readiness,I,A,C,C,C,C,C,R,I
First customer contract and site,I,R,C,C,C,C,C,C,A
Ship and go-live,A,R,C,C,C,C,C,R,R
GA decision,A,R,R,C,C,C,R,R,C

