ID,Phase,Task,Owner,Week Start,Week Finish,Predecessor,Exit Evidence
1.1,Initiate,Contract SOW and acceptance crosswalk,Program Manager,1,2,,Approved crosswalk
1.2,Discover,Use-case data and workflow mapping,Customer Ops,1,4,,Validated process envelope
1.3,Discover,Site facility network and safety survey,Program Manager,2,4,1.1,Survey and feasibility report
2.1,Design,System interface and configuration baseline,Robot Engineering,5,8,1.2;1.3,Approved design package
2.2,Design,Safety risk assessment and controls,Safety EHS,4,9,1.3,Approved risk record
2.3,Design,Support training spares and RMA design,Support,6,10,1.1,Service design package
3.1,Build,Configure robots integrations and telemetry,Robot Engineering,9,12,2.1,Release candidate
3.2,Validate,Factory acceptance test,Robot Engineering,13,13,3.1;2.2,FAT report
4.1,Ready,Site remediation and readiness,Customer Ops,8,15,1.3,Site readiness certificate
4.2,Ready,Pre-ship go-no-go,Program Manager,15,15,3.2;4.1,Ship approval
5.1,Deploy,Delivery installation and commissioning,Field Service,16,18,4.2,Commissioning records
5.2,Validate,SAT safety validation UAT,Program Manager,18,19,5.1,Acceptance evidence
6.1,Launch,Controlled pilot and cutover,Customer Ops,20,21,5.2,Go-live approval
6.2,Operate,Hypercare,Support,21,23,6.1,Exit KPI report
6.3,Close,Operations handoff and PIR,Program Manager,24,24,6.2,Handoff and PIR approval

