cost_id,category,item,source_type,basis,base_cost_usd,contingency_usd,planning_total_usd,owner,validation_required
WH-C01,Equipment,Five humanoid systems,Scenario contract input,"5 x $150000 signed-order assumption",750000,0,750000,Commercial,"Replace with executed order and payment schedule"
WH-C02,Equipment,End effectors and charging,Quote-required allowance,"Configured five-robot package",125000,12500,137500,Engineering,"Vendor quote and configuration list"
WH-C03,Services,Integration and project delivery,Quote-required allowance,"Design build FAT SAT UAT and hypercare labor",180000,18000,198000,Program Manager,"Resource plan and supplier SOW"
WH-C04,Site,Facilities network and traffic controls,Customer estimate,"Conveyor interfaces power wireless markings and barriers",90000,18000,108000,Customer PM,"Site survey and contractor quote"
WH-C05,Logistics,Freight rigging and travel,Quote-required allowance,"Five systems plus deployment team",45000,9000,54000,Supply Chain,"Carrier route and travel quote"
WH-C06,Enablement,Training documentation and two-week hypercare,Quote-required allowance,"Operator support field and supervisor enablement",60000,6000,66000,Service,"Training roster and support plan"
WH-C07,Reserve,Management reserve,Sponsor-controlled reserve,"Unplanned one-time work outside line contingency",0,32500,32500,Sponsor,"Release only through change control"
WH-ONE-TIME,Total,Installed one-time planning cost,Calculated,"WH-C01 through WH-C07",1250000,96000,1346000,Program Manager,"Baseline for payback model"
WH-R01,Recurring,Annual software support and spares,Quote-required allowance,"Year-one run rate held constant in nominal model",160000,16000,176000,Service Owner,"Support quote failure history and spares plan"
WH-5Y-TCO,Total,Five-year TCO,Calculated,"$1346000 + 5 x $176000",2130000,96000,2226000,Finance,"Nominal dollars; add tax financing and escalation if applicable"
