table_title,activity_id,wbs,activity,duration_days,predecessors,baseline_start,baseline_finish,forecast_finish,critical,owner,acceptance,status,evidence_class,confidence,source_or_validation
Hardware Predictive integrated master schedule — filled example,HWI-001,1.0,Charter and discovery,10,None,W1,W2,W2,Yes,PM,G0,Complete,Scenario assumption,Low,Replace with approved project records
Hardware Predictive integrated master schedule — filled example,HWI-010,1.0,Baseline WBS/IMS/cost/quality/risk/procurement/change,10,HWI-001,W3,W4,W4,Yes,PM,G1,Complete,Scenario assumption,Low,Replace with approved project records
Hardware Predictive integrated master schedule — filled example,HWI-020,2.0,Procure and receive devices,35,HWI-001,W2,W8,W8,Yes,Procurement,Receipt/serials,Complete,Scenario assumption,Low,Replace with approved project records
Hardware Predictive integrated master schedule — filled example,HWI-030,3.0,"Build, apps, data and pilot",25,"HWI-010, HWI-020 partial",W2,W6,W6,Yes,Endpoint Lead,G2/G3,Complete,Scenario assumption,Low,Replace with approved project records
Hardware Predictive integrated master schedule — filled example,HWI-040,4.0,Site A Wave 1,10,HWI-030,W7,W8,W8,Yes,Site A Lead,Wave exit,Complete,Scenario assumption,Low,Replace with approved project records
Hardware Predictive integrated master schedule — filled example,HWI-050,4.0,Site B Wave 2,10,HWI-040,W9,W10,W10,Yes,Site B Lead,Wave exit,Complete,Scenario assumption,Low,Replace with approved project records
Hardware Predictive integrated master schedule — filled example,HWI-060,4.0,Site C Wave 3,10,HWI-050,W11,W12,W12,Yes,Site C Lead,Wave exit,Complete,Scenario assumption,Low,Replace with approved project records
Hardware Predictive integrated master schedule — filled example,HWI-070,4.0,Remote/all-sites Wave 4,15,HWI-060,W13,W15,W16,Yes,Remote Lead,Wave exit,Forecast +1 week,Scenario assumption,Low,Replace with approved project records
Hardware Predictive integrated master schedule — filled example,HWI-080,5.0,"Exception, return and sanitization closure",15,HWI-070,W16,W18,W18,Yes,Exception/Asset Leads,360 dispositions,In progress,Scenario assumption,Low,Replace with approved project records
Hardware Predictive integrated master schedule — filled example,HWI-090,1.0,Service and sponsor closure,5,HWI-080,W18,W18,W18,Yes,PM,G6,Planned,Scenario assumption,Low,Replace with approved project records
