table_title,cost_id,work_package,baseline_usd,committed_usd,actual_to_date_usd,estimate_to_complete_usd,forecast_usd,variance_usd,owner,basis,evidence_class,confidence,source_or_validation
M&A integration budget baseline and forecast — filled example,C-001,Program management and integration office,220000,210000,132000,78000,210000,10000,Program Manager,Scenario staffing plan,Scenario assumption,Low,Replace with approved project records
M&A integration budget baseline and forecast — filled example,C-002,"Identity, onboarding, and endpoint",275000,269000,181000,88000,269000,6000,IAM/Endpoint Lead,Scenario volume and vendor estimate,Scenario assumption,Low,Replace with approved project records
M&A integration budget baseline and forecast — filled example,C-003,Network and infrastructure,310000,304000,228000,76000,304000,6000,Network Lead,Three-site scenario,Scenario assumption,Low,Replace with approved project records
M&A integration budget baseline and forecast — filled example,C-004,Google Workspace migration,240000,232000,142000,90000,232000,8000,Workspace Lead,610-user scenario,Scenario assumption,Low,Replace with approved project records
M&A integration budget baseline and forecast — filled example,C-005,"Slack, Asana, and Jira",185000,178000,104000,74000,178000,7000,Collaboration Lead,Tool migration scenario,Scenario assumption,Low,Replace with approved project records
M&A integration budget baseline and forecast — filled example,C-006,Application rationalization and data,230000,221000,108000,113000,221000,9000,Application Lead,142-app scenario,Scenario assumption,Low,Replace with approved project records
M&A integration budget baseline and forecast — filled example,C-007,"Security, privacy, and compliance",160000,158000,96000,62000,158000,2000,Security Lead,Scenario control plan,Scenario assumption,Low,Replace with approved project records
M&A integration budget baseline and forecast — filled example,C-008,"Change, training, and hypercare",120000,113000,64000,49000,113000,7000,Change Lead,Scenario support model,Scenario assumption,Low,Replace with approved project records
M&A integration budget baseline and forecast — filled example,C-009,Hardware and logistics allowance,60000,57000,51000,6000,57000,3000,Endpoint Lead,Scenario exceptions,Scenario assumption,Low,Replace with approved project records
M&A integration budget baseline and forecast — filled example,C-010,Management reserve,60000,40000,20000,20000,40000,20000,Sponsor,Draw only by approved change,Scenario assumption,Low,Replace with approved project records
