record_id,record_type,item,basis,base_usd,reserve_usd,total_usd,source_type,owner,replacement_evidence
AD-C01,Cost,Cross-functional team,"20 average FTE for 18 months at $162500 annual loaded cost",4875000,0,4875000,"Scenario input checked against BLS occupational medians",Program Manager,"Actual payroll benefits contractor and allocation ledger"
AD-C02,Cost,Prototypes tooling fixtures and test equipment,"EVT DVT and PVT builds",2300000,0,2300000,"Scenario engineering estimate",Engineering,"Prototype plan and supplier quotes"
AD-C03,Cost,Pilot parts and supplier qualification,"Pilot material alternates and qualification",900000,0,900000,"Scenario supply estimate",Supply Chain,"BOM supplier quotes MOQ and freight"
AD-C04,Cost,Safety cybersecurity legal and external testing,"Product and jurisdiction allowance",600000,0,600000,"Scenario allowance",Quality,"Lab legal insurance and certification quotes"
AD-C05,Cost,First-customer deployment and hypercare,"One installation training spares and field coverage",350000,0,350000,"Scenario deployment estimate",Service,"Site survey travel labor spares and logistics quote"
AD-C06,Cost,Cloud laboratory and data systems,"18-month program allowance",450000,0,450000,"Scenario allowance",Engineering Operations,"Cloud storage licenses lab and telemetry forecast"
AD-C07,Cost,Commercial contract and launch readiness,"Offer demo contract and launch material",300000,0,300000,"Scenario allowance",Product,"Sales legal demo and launch plan"
AD-C08,Cost,Management reserve,"Sponsor-controlled unknowns",0,1200000,1200000,"Scenario reserve",Sponsor,"Released change records"
AD-TOTAL,Cost,NPI program investment,"Before production working capital and corporate overhead",9775000,1200000,10975000,"Calculated scenario total",Program Manager,"Approved program baseline"
AD-H01,Headcount,Product program and finance,"Average over 18 months",3,0,3,"Scenario staffing",Program/Product,"Named resource plan"
AD-H02,Headcount,Systems safety cybersecurity and quality,"Average over 18 months",4,0,4,"Scenario staffing",Engineering,"Named resource plan"
AD-H03,Headcount,Mechanical electrical firmware and controls,"Average over 18 months",5,0,5,"Scenario staffing",Engineering,"Named resource plan"
AD-H04,Headcount,Software perception fleet and data,"Average over 18 months",4,0,4,"Scenario staffing",Engineering,"Named resource plan"
AD-H05,Headcount,Test manufacturing supply deployment and service,"Average over 18 months",4,0,4,"Scenario staffing",Operations,"Named resource plan"
AD-H-TOTAL,Headcount,Average cross-functional team,"18-month average",20,0,20,"Calculated scenario total",Program Manager,"Approved resource plan"
