table_title,source_id,publisher,title,url,portfolio_use,authority,accessed,evidence_class,confidence,source_or_validation
Hardware refresh authoritative source register,SRC-PMI-01,PMI,PMBOK Guide — Eighth Edition,https://www.pmi.org/standards/pmbok,Six principles; seven performance domains; tailoring; value and outcomes,Official publisher page,2026-08-25,Public benchmark,High,https://www.pmi.org/standards/pmbok
Hardware refresh authoritative source register,SRC-PMI-02,PMI,Process Groups: A Practice Guide,https://www.pmi.org/standards/process-groups,"Initiating, Planning, Executing, Monitoring and Controlling, Closing for predictive work",Official practice-guide page,2026-08-25,Public benchmark,High,https://www.pmi.org/standards/process-groups
Hardware refresh authoritative source register,SRC-PMI-03,PMI,Agile Practice Guide — Second Edition,https://www.pmi.org/standards/agile,"Agile, Lean, Kanban, product delivery, hybrid selection, value and flow",Official publisher page,2026-08-25,Public benchmark,High,https://www.pmi.org/standards/agile
Hardware refresh authoritative source register,SRC-PMI-04,PMI,2026 PMP exam update,https://www.pmi.org/certifications/project-management-pmp/new-exam,"Current exam emphasizes outcomes/value and predictive, agile, and hybrid application",Official certification page,2026-08-25,Public benchmark,High,https://www.pmi.org/certifications/project-management-pmp/new-exam
Hardware refresh authoritative source register,SRC-SCRUM-01,Scrum Guides,The Scrum Guide,https://scrumguides.org/scrum-guide.html,"Accountabilities, events, artifacts, commitments, empiricism",Official guide,2026-08-25,Public benchmark,High,https://scrumguides.org/scrum-guide.html
Hardware refresh authoritative source register,SRC-KANBAN-01,Kanban Guides,The Kanban Guide,https://kanbanguides.org/the-kanban-guide/,"Definition of Workflow; WIP, throughput, work-item age, cycle time",Official guide,2026-08-25,Public benchmark,High,https://kanbanguides.org/the-kanban-guide/
Hardware refresh authoritative source register,SRC-NIST-02,NIST,SP 800-88 Rev. 2 — Guidelines for Media Sanitization,https://csrc.nist.gov/pubs/sp/800/88/r2/final,"Enterprise sanitization program, validation, disposal/reuse controls",Official final publication,2026-08-25,Public benchmark,High,https://csrc.nist.gov/pubs/sp/800/88/r2/final
Hardware refresh authoritative source register,SRC-MS-10,Microsoft,Windows Autopilot overview,https://learn.microsoft.com/en-us/autopilot/overview,"OEM image, automated configuration, Entra join, MDM enrollment",Official product guidance,2026-08-25,Public benchmark,High,https://learn.microsoft.com/en-us/autopilot/overview
Hardware refresh authoritative source register,SRC-MS-11,Microsoft,Windows Autopilot for existing devices,https://learn.microsoft.com/en-us/autopilot/existing-devices,Configuration Manager task sequence and Autopilot transition path,Official product guidance,2026-08-25,Public benchmark,High,https://learn.microsoft.com/en-us/autopilot/existing-devices
Hardware refresh authoritative source register,SRC-MS-12,Microsoft,Intune device compliance policies,https://learn.microsoft.com/en-us/intune/device-security/compliance/overview,Platform-specific compliance and Conditional Access signals,Official product guidance,2026-08-25,Public benchmark,High,https://learn.microsoft.com/en-us/intune/device-security/compliance/overview
Hardware refresh authoritative source register,SRC-MS-13,Microsoft,OneDrive Known Folder Move,https://learn.microsoft.com/en-us/sharepoint/redirect-known-folders,Data protection and staged folder redirection/migration,Official product guidance,2026-08-25,Public benchmark,High,https://learn.microsoft.com/en-us/sharepoint/redirect-known-folders
Hardware refresh authoritative source register,SRC-MS-14,Microsoft,Endpoint analytics overview,https://learn.microsoft.com/en-us/intune/analytics/,"Startup, application reliability, battery, and managed-device experience insights",Official product guidance,2026-08-25,Public benchmark,High,https://learn.microsoft.com/en-us/intune/analytics/
