cost_id,category,item,basis,year1_base_usd,year2_run_rate_usd,reserve_usd,year1_authorized_usd,source_type,owner,replacement_evidence
SUP-C01,People,Support operations implementation team,"Six-month blended program",620000,0,62000,682000,"Scenario implementation estimate",Program Manager,"Named team allocation and contractor statements of work"
SUP-C02,People,Initial 15-person service operation,"Role-by-role model in OPERATING_BASELINE_AND_COST_ASSUMPTIONS.md",1850000,1950000,185000,2035000,"Scenario loaded-cost model",Service Owner,"Payroll contractor on-call and coverage plan"
SUP-C03,Platforms,Case field CRM and engineering integration,"Licenses services and integration",420000,300000,84000,504000,"Scenario allowance; existing core platforms assumed",Enterprise Apps,"Vendor quotes implementation scope users and contract term"
SUP-C04,Robotics Data,Fleet observability logging replay metrics,"Tools storage and integration",260000,240000,52000,312000,"Scenario volume allowance",Robotics Platform,"Robot event rate retention storage egress and vendor quote"
SUP-C05,Security,Remote access identity audit and reviews,"Implementation and recurring",140000,90000,28000,168000,"Scenario architecture allowance",Security,"Approved architecture licenses assessment and labor estimate"
SUP-C06,Field Parts,Tools starter spares depots and logistics,"250 robots 60 sites launch allowance",500000,280000,100000,600000,"Scenario installed-base allowance",Field Service,"Failure forecast parts list depot design freight and vendor quotes"
SUP-C07,Enablement,Knowledge training exercises and change,"Initial build and recurring",160000,110000,32000,192000,"Scenario enablement estimate",Enablement,"Audience content training delivery and exercise plan"
SUP-C08,Reserve,Executive management reserve,"Unknowns outside workstream contingency",0,0,175000,175000,"Scenario reserve",Sponsor,"Approved change and reserve release records"
SUP-TOTAL,Total,Support operating model,"Year-one base plus full reserve",3950000,2970000,718000,4668000,"Calculated scenario total",Program Manager,"Approved financial baseline"
SUP-3YR,Total,Three-year Total Cost of Ownership,"Year1 authorized plus 2 times year2 run rate",9890000,0,718000,10608000,"Calculated scenario total",Program Manager,"Approved three-year forecast"
