ID,Epic,Story,Priority,Owner,Acceptance,Final Evidence,Status
SUP-001,Foundation,Define service catalog entitlement and support hours,P0,Service Operations,Approved and mapped to customer contracts,Service catalog and entitlement audit,Accepted
SUP-002,Foundation,Create installed product and configuration data model,P0,Service Operations,Robot serial site version contract and owner queryable,250 of 250 records complete,Accepted
SUP-003,Incident,Define severity response restore and communication targets,P0,Service Operations,Runbook approved and tabletop passed,Severity 1 and Severity 2 drill records,Accepted
SUP-004,Incident,Create safety security and executive escalation tree,P0,Service Operations,24x7 drill reaches all roles,100 percent role contact test,Accepted
SUP-005,Evidence,Standardize Level 1 to Level 2 diagnostic evidence bundle,P0,Robotics Level 2,At least 95 percent pilot cases complete,96 percent evidence completeness,Accepted
SUP-006,Integration,Link Salesforce case work order Jira and telemetry,P0,IT Systems,Correlation identifier traverses all systems,End-to-end trace accepted,Accepted
SUP-007,Observability,Deploy fleet and Grafana dashboards,P1,Robotics Level 2,Health version missions and faults visible by site,Dashboard acceptance record,Accepted
SUP-008,Observability,Define controlled alert-to-case candidates,P1,Robotics Level 2,Precision threshold and owner documented,Three candidates documented; automation deferred to phase two,Accepted
SUP-009,Field,Define skills territories dispatch and return-to-service,P0,Field Service,Dispatch drill and test record pass,Field drill passed,Accepted
SUP-010,Parts,Create field-replaceable-unit minimum maximum serialized inventory and Return Material Authorization workflow,P0,Supply Chain,Critical part scenario completed end to end,97 percent critical-parts fill and drill passed,Accepted
SUP-011,Knowledge,Publish top 20 safe-response and known-error articles,P1,Customer Support,Approved owners review dates and usage tracking,20 articles with owners and review dates,Accepted
SUP-012,Release,Add support readiness to product release gate,P0,Product,No release can pass without required evidence,Release checklist approved,Accepted
SUP-013,Metrics,Launch weekly service and reliability scorecard,P1,Service Operations,Metrics have source owner target and action,Day-180 scorecard accepted,Accepted
SUP-014,Workforce,Build volume staffing on-call and training forecast,P1,Service Operations,90-day capacity plan approved,Staffing triggers and on-call roster accepted,Accepted
