table_title,id,type,statement,probability_1_5,impact_1_5,score,owner,response,trigger,closeout_status,evidence_class,confidence,source_or_validation
Table 1. Raid,R-001,Risk,Mixed stock damaged cartons or tangled hangers exceed approved grasp set,4,5,20,Inventory Lead,Reject to labeled human exception zone,Unsupported-item rate above 2 percent,Transferred to operations,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Raid,R-002,Risk,Employee or stock cart enters narrow shared aisle,4,5,20,Safety Lead,Low-speed mode stop-distance tests and right-of-way rule,Any contact or control bypass,Closed with controls,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Raid,R-003,Risk,Inventory interface sends wrong location or variant,4,4,16,Integration Lead,Confirm SKU size color and scan at pick and courtesy drop-off,Wrong-item rate above 0.5 percent,Closed with controls,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Raid,R-004,Risk,Stair or fire-door route is blocked or outside envelope,3,5,15,Store Operations,Route-health check alternate courtesy drop-off and safe return,Route unavailable for more than 10 minutes,Transferred to operations,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Raid,R-005,Risk,Operational acceptance is mistaken for a scalable business case,4,5,20,Finance,Separate G5 operational and G6 financial gates,Gross annual value below 346000 dollars,Closed at financial gate,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Raid,R-006,Risk,Forklift unloading overlaps humanoid stocking in the receiving zone,4,5,20,Safety Lead,Time-separate missions and require positive forklift-park and zone-clear confirmation before stocking release,Any humanoid mission released while forklift is active,Closed with interlock and operating rule,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Raid,R-007,Risk,Unstable pallet or damaged inbound carton enters automated flow,3,5,15,Dock Lead,Verify pallet stability and carton envelope before release; quarantine exceptions,Any lean damage loose wrap or load outside envelope,Transferred to dock operations,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Raid,A-001,Assumption,Approved shoe boxes weigh 0.3 to 8 kilograms,3,4,12,Inventory Lead,Representative sample and scale log before FAT,Any sample outside envelope,Validated for pilot set,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Raid,A-002,Assumption,Returned associate time can be used for customer-facing work,4,4,16,Store Sponsor,Observe schedules and floor coverage; do not book cash savings automatically,No documented staffing or customer impact,Unvalidated for cash savings,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Raid,I-001,Issue,Annual gross value is below annual recurring cost,5,5,25,Finance,Hold chain rollout and seek quote-backed cost down or additional measured value,148258 dollars below 218000 dollars,Open commercial issue,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Raid,D-001,Dependency,Test inventory tenant identity and tablet are available by week 5,3,4,12,IT Lead,Weekly dependency review and test harness fallback,Access not ready by week 4,Closed,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
