table_title,activity_id,wbs,activity,duration_days,predecessors,baseline_start,baseline_finish,forecast_finish,critical,owner,acceptance,status,evidence_class,confidence,source_or_validation
M&A Predictive integrated master schedule — filled example,IMS-001,1.0,Authorize mandate and clean-team discovery,5,None,W1,W1,W1,Yes,Sponsor/Legal,G0 approval,Complete,Scenario assumption,Low,Replace with approved project records
M&A Predictive integrated master schedule — filled example,IMS-010,1.0,"Baseline scope, WBS, schedule, cost, governance and risk",15,IMS-001,W2,W4,W4,Yes,Program Manager,G1 approval,Complete,Scenario assumption,Low,Replace with approved project records
M&A Predictive integrated master schedule — filled example,IMS-020,2.0,"Reconcile roster, identities, devices and persona access",20,IMS-001,W1,W4,W4,Yes,Day 1 Lead,Readiness baseline,Complete,Scenario assumption,Low,Replace with approved project records
M&A Predictive integrated master schedule — filled example,IMS-030,2.0,Execute Day 1 and two-week hypercare,10,"IMS-020, legal close",W5,W6,W6,Yes,Command Lead,G3 + hypercare exit,Complete with exceptions,Scenario assumption,Low,Replace with approved project records
M&A Predictive integrated master schedule — filled example,IMS-040,3.0,Design/test network interconnect and collision remediation,30,IMS-010,W4,W9,W9,Yes,Network Lead,G2 and site pilot,In progress,Scenario assumption,Low,Replace with approved project records
M&A Predictive integrated master schedule — filled example,IMS-050,4.0,Pilot collaboration migrations,20,IMS-020,W5,W8,W8,Yes,Collaboration Lead,Pilot reconciliation/business sign-off,In progress,Scenario assumption,Low,Replace with approved project records
M&A Predictive integrated master schedule — filled example,IMS-060,4.0,Execute collaboration production waves,50,"IMS-050, IMS-040",W9,W18,W19,Yes,Collaboration Lead,Batch acceptance,Forecast +1 week,Scenario assumption,Low,Replace with approved project records
M&A Predictive integrated master schedule — filled example,IMS-070,5.0,Approve and execute application dispositions,75,IMS-010,W6,W20,W21,No,Application Lead,142/142 disposition/evidence,In progress,Scenario assumption,Low,Replace with approved project records
M&A Predictive integrated master schedule — filled example,IMS-080,6.0,Decommission temporary controls and transfer services,15,"IMS-060, IMS-070",W21,W23,W23,Yes,Operations Leads,G5/service acceptance,Planned,Scenario assumption,Low,Replace with approved project records
M&A Predictive integrated master schedule — filled example,IMS-090,1.0,Close program and transfer benefits,5,IMS-080,W24,W24,W24,Yes,Program Manager,G6,Planned,Scenario assumption,Low,Replace with approved project records
