table_title,ID,Phase,Task,Owner,Week Start,Week Finish,Predecessor,Exit Evidence,evidence_class,confidence,source_or_validation
Table 1. Schedule,1.1,Initiate,CONOPS authority and success criteria,Program Manager,1,3,,Approved CONOPS,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Schedule,1.2,Discover,Privacy data and workforce review,Privacy Legal,1,4,,Approved impact review,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Schedule,1.3,Discover,Day and night route site survey,Safety EHS,2,5,1.1,Hazard and coverage map,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Schedule,2.1,Design,Mission geofence docking and alert design,Robot Engineering,5,8,1.2;1.3,Design baseline,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Schedule,2.2,Design,Support field and retrieval design,Field Support,6,9,1.3,Service design package,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Schedule,3.1,Build,Configure robots console telemetry and alerts,Robot Engineering,8,10,2.1,Release candidate,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Schedule,3.2,Validate,FAT mission fault privacy and support tests,Program Manager,11,11,3.1;2.2,FAT report,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Schedule,4.1,Ready,Site docks network signage and operator readiness,Security Ops,9,13,1.3,Readiness certificate,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Schedule,5.1,Deploy,Commissioning and escorted shadow patrol,Program Manager,14,15,3.2;4.1,Shadow patrol evidence,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Schedule,5.2,Validate,Concurrent patrol acceptance,Security Ops,16,17,5.1,Acceptance signoff,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Schedule,6.1,Operate,Production hypercare,Field Support,17,19,5.2,KPI report,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Schedule,6.2,Close,Handoff and lessons learned,Program Manager,20,20,6.1,Handoff signoff,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
