ID,Phase,Task,Owner,Month Start,Month Finish,Predecessor,Exit Evidence
1.1,Discovery,Customer research process baseline and business case,Product,1,2,,Discovery gate
1.2,Concept,Feasibility prototypes architecture trade studies,Systems,2,4,1.1,Concept gate
1.3,Concept,Initial hazards security and service concept,Safety Security,2,4,1.1,Approved concepts
2.1,Define,PRD system requirements interfaces and plan,Systems,4,6,1.2;1.3,Baselined requirements
3.1,EVT,Engineering builds and critical risk tests,Engineering,5,8,2.1,Engineering Verification Test report
3.2,EVT,Supplier and cost readiness,Supply Chain,5,8,2.1,Supplier plan and costed Bill of Materials
4.1,DVT,Design verification reliability safety and security,Engineering,8,12,3.1,Design Verification Test report and design freeze
4.2,DVT,Manufacturing test serviceability diagnostics and documentation,Manufacturing Quality,9,12,3.1,Readiness evidence
5.1,PVT,Ten-unit pilot build and process validation,Manufacturing Quality,13,15,4.1;4.2,Production Validation Test report
5.2,Ready,First-customer site contract training and support readiness,Program Manager,12,15,4.1,Ship readiness package
6.1,Launch,Ship install commission and start acceptance,Program Manager,16,16,5.1;5.2,Customer acceptance start
6.2,Operate,Hypercare and 30-day acceptance review,Service,17,18,6.1,Performance and field report
6.3,Scale,General Availability decision and roadmap reset,Executive Sponsor,18,18,6.2,General Availability decision record
