requirement_id,stakeholder_need,system_requirement,verification,acceptance_threshold,gate,owner,status
AD-PERF-001,Move approved totes,"Handle one baselined tote geometry from 2 to 15 kilograms",Inspection and load test,"All 12 representative mass and center-of-gravity combinations pass",DVT,Systems,Planned
AD-PERF-010,Reliable workflow,"Complete the defined transfer mission",Operational test,">=98% success over 2000 DVT cycles and the 30-day customer mix",DVT and First Customer,Product,Planned
AD-PERF-020,Meet takt need,"Sustain the transfer rate",Timed test,">=40 completed transfers per hour for 2 continuous hours",DVT,Test,Planned
AD-PERF-030,Remain in approved route,"Complete the 18-meter route without exclusion-zone entry",Route and fault test,"0 exclusion-zone entries",DVT,Systems,Planned
AD-SAFE-001,Protect people,"Mandatory hazard controls and protective functions operate as approved",Qualified validation,"100% mandatory tests pass; 0 open stop-ship defects",DVT,Safety,Planned
AD-SAFE-010,Fail safely,"Localization or network loss enters the approved safe state",Fault injection,"Safe state within 1 second and no motion until authorized recovery",DVT,Systems,Planned
AD-REL-001,Production availability,"Meet scheduled availability during first-customer acceptance",Thirty-day operations data,">=95% scheduled availability",First Customer,Reliability,Planned
AD-REL-010,Limit operating burden,"Limit human recovery interventions",Thirty-day operations data,"<=3 interventions per 100 missions",First Customer,Product,Planned
AD-SERV-001,Fast repair,"Replace battery compute or gripper Field-Replaceable Unit and pass return-to-service",Service demonstration,"<=60 minutes for each named module",PVT,Service,Planned
AD-DATA-001,Trace outcomes,"Record serial version mission event fault and correlation identifier",Inspection and test,"100% of sampled mission/fault records complete",DVT,Platform,Planned
AD-SEC-001,Secure operation,"Unique identity least privilege signed update audit and rollback",Security test,"100% mandatory controls pass",DVT,Security,Planned
AD-MFG-001,Repeatable build,"Build 10 units on intended process",Pilot build,">=90% first-pass yield and <=40 final assembly/test labor hours per unit",PVT,Manufacturing,Planned
AD-COST-001,Sustainable economics,"Meet Cost of Goods Sold target",Finance and Bill of Materials review,"<=165000 USD DVT forecast and <=150000 USD PVT actual/committed",DVT and PVT,Finance,Planned
AD-OPS-001,Operable and supportable,"Training and end-to-end support drill pass",Assessment and drill,"100% designated users pass; Severity-1 drill acknowledged <=5 minutes",First Customer,Service,Planned
