table_title,cost_id,category,item,source_type,basis,base_cost_usd,contingency_usd,planning_total_usd,owner,validation_required,evidence_class,confidence,source_or_validation
Table 1. Budget,QS-C01,Equipment,Three industrial quadruped base robots,Public price reference,3 x $100000 Unitree B2 public listing,300000,0,300000,Commercial,Competitive evaluation and executed quote,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-C02,Equipment,Visible thermal acoustic payload packages,Quote-required allowance,3 x $30000,90000,18000,108000,Engineering,Payload compatibility and vendor quote,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-C03,Equipment,Docks and spare batteries,Quote-required allowance,3 x $15000,45000,9000,54000,Engineering,Runtime model dock design and quote,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-C04,Services,SOC evidence fleet and case integration,Quote-required allowance,One campus integration,75000,11250,86250,Program Manager,Interface design and supplier SOW,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-C05,Site,Power wireless lighting route repair and signage,Customer estimate,Legged-route site work,35000,7000,42000,Customer PM,Day/night site survey and contractor quote,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-C06,Assurance,Privacy cybersecurity and legal enablement,Quote-required allowance,Impact review controls tests and policy,30000,6000,36000,Privacy Lead,Approved control plan and legal review,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-C07,Enablement,Training spares and retrieval equipment,Quote-required allowance,Operator responder support and field package,45000,9000,54000,Service Lead,Roster drills spares and retrieval test,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-C08,Logistics,Freight and deployment travel,Quote-required allowance,Three robots and deployment team,15000,3000,18000,Supply Chain,Carrier and travel quote,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-C09,Reserve,Management reserve,Sponsor-controlled reserve,Unknown one-time work,0,32000,32000,Sponsor,Release only through change control,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-ONE-TIME,Total,Installed one-time planning cost,Calculated,QS-C01 through QS-C09,635000,95250,730250,Program Manager,Baseline for payback model,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-R01,Recurring,Fleet software connectivity and support,Quote-required allowance,Annual run rate,75000,0,75000,Service Owner,Vendor quote and service entitlement,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-R02,Recurring,Maintenance batteries and spare consumption,Quote-required allowance,Annual reserve,30000,0,30000,Field Service,Reliability and repair history,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-R03,Recurring,Evidence storage and retention,Quote-required allowance,Annual storage and export,12000,0,12000,Security Operations,Retention policy and measured volume,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
Table 1. Budget,QS-5Y-TCO,Total,Five-year TCO,Calculated,$730250 + 5 x $117000,1220000,95250,1315250,Finance,Nominal dollars; add tax insurance financing and escalation,SA-L,Low,Fictional scenario record; replace assumptions with approved actuals
